SECS/GEM 功能對照表 — 修訂說明,
,
修訂日期 Revision date,2026-07-29 (第 1 版) / 2026-07-30 (第 2 版) / 2026-08-02 (第 3 版，本次)
來源檔 Source,"SECS_GEM功能_Handler.xlsx (客戶提供, 2026-07-23 資料夾)"
本檔 This file,SECS_GEM功能_Handler_20260802.xlsx
依據韌體 Firmware,"HT-160S 1.0.0.0, branch feat/iosetview-172-refactor (commit bd1d785)"
,
本次修訂內容 What changed,
1. 功能表,27 項狀態依實際韌體更新，Memo 欄補上判定依據。變更的格子以淡黃底標示。
2. CEID 表,整份改為 HT9045 字典的逐字複本(1-275 全數註冊，別名與 HT9045 逐字相同)。新增「本機發射」欄：52 個號碼本機真的會送(綠底並標 ★)，其餘 223 個已註冊但無發射點、永不送出。
3. SVID 表,補上 1518 Real/Dummy(本機已註冊，原表漏列)。本機共註冊 51 個 SVID。
,
⚠ 重大變更 Breaking change,
CEID 1-31 語意全部改變,原表的 CEID 1-31(Handler change status / Recipe Change / …)為 HT-160S 舊有自訂語意，已於 2026-07-29 全部作廢，改用 HT9045 字典。host 端設定必須同步更新。
最高風險：CEID 27 與 28,這兩個號碼在新舊字典中都存在但意思不同。舊：27=One Cycle Finish、28=Clean Out Finish；新：27=Change Machine State、28=Retry Pressed。未更新設定會被靜默誤讀(訊息格式合法、語意錯誤)。One Cycle Finish 已移到 41，Clean Out Finish 已移到 42。
完整新舊對照,見規格書 HT160S_SECS_Interface_Spec_20260727.md/.html 的 §3.3.5。
,
尚待貴端提供 / 確認 Open items,
1,"(2026-08-02 已解除)不再需要 HT9045 的 SVID 目錄傾印。2026-07-31 現場 log 已提供貴端 host 自己的完整需求清單(33 張 S2F33 報表定義、31 條 S2F35 連結、389 個相異 SVID)，比 9045 的目錄更權威。其中 AMR 相關報表為 RPTID 2000 = {38202, 38205, 38206, 38207, 38219, 38220, 38221} 與 RPTID 2001 = {38222-38236}，另 RPTID 524 = {38237, 38238, 38239}；38208-38210 / 38240-38245 這 9 個 Auto4-6 延伸號貴端完全未引用，本機仍照常註冊並可以 S1F3 回覆。⚠ 但 38237/38238/38239 這 3 個貴端已引用的號碼有語意疑慮：貴端把 RPTID 524 綁在 CEID 67 Tray Test Finish 上，而本機對這三個號碼的定義是「AMR AUTO4/5/6 Tray Count」，與 Tray Test Finish 不相稱；且 CEID 67 為測試機事件，HT-160S 不會發射，故該報表目前永遠不會送出。請貴端確認 9045 對這三個號碼的定義是否與本機一致，若不一致則需另行編號。此為本項唯一尚未關閉的部分。"
